Concurso,Data,D/SEMAN,1º PRÊMIO,S 1º,MC 1º,MC P/I 1º,P/I 1º,D 1º,D P/I 1º,GP 1º,GP P/I 1º,BICHO 1º,2º PRÊMIO,S 2º,MC 2º,MC P/I 2º,P/I 2º,D 2º,D P/I 2º,GP 2º,GP P/I 2º,BICHO 2º,3º PRÊMIO,S 3º,MC 3º,MC P/I 3º,P/I 3º,D 3º,D P/I 3º,GP 3º,GP P/I 3º,BICHO 3º,4º PRÊMIO,S 4º,MC 4º,MC P/I 4º,P/I 4º,D 4º,D P/I 4º,GP 4º,GP P/I 4º,BICHO 4º,5º PRÊMIO,S 5º,MC 5º,MC P/I 5º,P/I 5º,D 5º,D P/I 5º,GP 5º,GP P/I 5º,BICHO 5º
4414,2010-01-09,sábado,3978,"[3,9,7,8]",39,"[I,I]","[I,I,I,P]",78,"[I,P]",20,PAR,PERU,998,"[0,9,9,8]",09,"[P,I]","[P,I,I,P]",98,"[I,P]",25,IMPAR,VACA,776,"[0,7,7,6]",07,"[P,I]","[P,I,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,5914,"[5,9,1,4]",59,"[I,I]","[I,I,I,P]",14,"[I,P]",04,PAR,BORBOLETA,5084,"[5,0,8,4]",50,"[I,P]","[I,P,P,P]",84,"[P,P]",21,IMPAR,TOURO
4415,2010-01-13,quarta-feira,3198,"[3,1,9,8]",31,"[I,I]","[I,I,I,P]",98,"[I,P]",25,IMPAR,VACA,1611,"[1,6,1,1]",16,"[I,P]","[I,P,I,I]",11,"[I,I]",03,IMPAR,BURRO,4144,"[4,1,4,4]",41,"[P,I]","[P,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO,8177,"[8,1,7,7]",81,"[P,I]","[P,I,I,I]",77,"[I,I]",20,PAR,PERU,5640,"[5,6,4,0]",56,"[I,P]","[I,P,P,P]",40,"[P,P]",10,PAR,COELHO
4416,2010-01-16,sábado,5936,"[5,9,3,6]",59,"[I,I]","[I,I,I,P]",36,"[I,P]",09,IMPAR,COBRA,1431,"[1,4,3,1]",14,"[I,P]","[I,P,I,I]",31,"[I,I]",08,PAR,CAMELO,1777,"[1,7,7,7]",17,"[I,I]","[I,I,I,I]",77,"[I,I]",20,PAR,PERU,8502,"[8,5,0,2]",85,"[P,I]","[P,I,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ,4184,"[4,1,8,4]",41,"[P,I]","[P,I,P,P]",84,"[P,P]",21,IMPAR,TOURO
4417,2010-01-20,quarta-feira,2486,"[2,4,8,6]",24,"[P,P]","[P,P,P,P]",86,"[P,P]",22,PAR,TIGRE,1206,"[1,2,0,6]",12,"[I,P]","[I,P,P,P]",06,"[P,P]",02,PAR,ÁGUIA,2816,"[2,8,1,6]",28,"[P,P]","[P,P,I,P]",16,"[I,P]",04,PAR,BORBOLETA,9046,"[9,0,4,6]",90,"[I,P]","[I,P,P,P]",46,"[P,P]",12,PAR,ELEFANTE,4744,"[4,7,4,4]",47,"[P,I]","[P,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO
4418,2010-01-23,sábado,4401,"[4,4,0,1]",44,"[P,P]","[P,P,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,1556,"[1,5,5,6]",15,"[I,I]","[I,I,I,P]",56,"[I,P]",14,PAR,GATO,4732,"[4,7,3,2]",47,"[P,I]","[P,I,I,P]",32,"[I,P]",08,PAR,CAMELO,7491,"[7,4,9,1]",74,"[I,P]","[I,P,I,I]",91,"[I,I]",23,IMPAR,URSO,4790,"[4,7,9,0]",47,"[P,I]","[P,I,I,P]",90,"[I,P]",23,IMPAR,URSO
4419,2010-01-27,quarta-feira,3500,"[3,5,0,0]",35,"[I,I]","[I,I,P,P]",00,"[P,P]",00,PAR,VACA,4885,"[4,8,8,5]",48,"[P,P]","[P,P,P,I]",85,"[P,I]",22,PAR,TIGRE,8447,"[8,4,4,7]",84,"[P,P]","[P,P,P,I]",47,"[P,I]",12,PAR,ELEFANTE,9770,"[9,7,7,0]",97,"[I,I]","[I,I,I,P]",70,"[I,P]",18,PAR,PORCO,4381,"[4,3,8,1]",43,"[P,I]","[P,I,P,I]",81,"[P,I]",21,IMPAR,TOURO
4420,2010-01-30,sábado,1612,"[1,6,1,2]",16,"[I,P]","[I,P,I,P]",12,"[I,P]",03,IMPAR,BURRO,6501,"[6,5,0,1]",65,"[P,I]","[P,I,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,7943,"[7,9,4,3]",79,"[I,I]","[I,I,P,I]",43,"[P,I]",11,IMPAR,CAVALO,1585,"[1,5,8,5]",15,"[I,I]","[I,I,P,I]",85,"[P,I]",22,PAR,TIGRE,1908,"[1,9,0,8]",19,"[I,I]","[I,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA
4421,2010-02-03,quarta-feira,9795,"[9,7,9,5]",97,"[I,I]","[I,I,I,I]",95,"[I,I]",24,PAR,VEADO,2528,"[2,5,2,8]",25,"[P,I]","[P,I,P,P]",28,"[P,P]",07,IMPAR,CARNEIRO,9889,"[9,8,8,9]",98,"[I,P]","[I,P,P,I]",89,"[P,I]",23,IMPAR,URSO,2037,"[2,0,3,7]",20,"[P,P]","[P,P,I,I]",37,"[I,I]",10,PAR,COELHO,1819,"[1,8,1,9]",18,"[I,P]","[I,P,I,I]",19,"[I,I]",05,IMPAR,CACHORRO
4422,2010-02-06,sábado,5144,"[5,1,4,4]",51,"[I,I]","[I,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO,9768,"[9,7,6,8]",97,"[I,I]","[I,I,P,P]",68,"[P,P]",17,IMPAR,MACACO,1445,"[1,4,4,5]",14,"[I,P]","[I,P,P,I]",45,"[P,I]",12,PAR,ELEFANTE,9077,"[9,0,7,7]",90,"[I,P]","[I,P,I,I]",77,"[I,I]",20,PAR,PERU,3750,"[3,7,5,0]",37,"[I,I]","[I,I,I,P]",50,"[I,P]",13,IMPAR,GALO
4423,2010-02-10,quarta-feira,4426,"[4,4,2,6]",44,"[P,P]","[P,P,P,P]",26,"[P,P]",07,IMPAR,CARNEIRO,4556,"[4,5,5,6]",45,"[P,I]","[P,I,I,P]",56,"[I,P]",14,PAR,GATO,3092,"[3,0,9,2]",30,"[I,P]","[I,P,I,P]",92,"[I,P]",23,IMPAR,URSO,4338,"[4,3,3,8]",43,"[P,I]","[P,I,I,P]",38,"[I,P]",10,PAR,COELHO,4082,"[4,0,8,2]",40,"[P,P]","[P,P,P,P]",82,"[P,P]",21,IMPAR,TOURO
4424,2010-02-13,sábado,5021,"[5,0,2,1]",50,"[I,P]","[I,P,P,I]",21,"[P,I]",06,PAR,CABRA,460,"[0,4,6,0]",04,"[P,P]","[P,P,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,8142,"[8,1,4,2]",81,"[P,I]","[P,I,P,P]",42,"[P,P]",11,IMPAR,CAVALO,984,"[0,9,8,4]",09,"[P,I]","[P,I,P,P]",84,"[P,P]",21,IMPAR,TOURO,98,"[0,0,9,8]",00,"[P,P]","[P,P,I,P]",98,"[I,P]",25,IMPAR,VACA
4425,2010-02-17,quarta-feira,634,"[0,6,3,4]",06,"[P,P]","[P,P,I,P]",34,"[I,P]",09,IMPAR,COBRA,5146,"[5,1,4,6]",51,"[I,I]","[I,I,P,P]",46,"[P,P]",12,PAR,ELEFANTE,7749,"[7,7,4,9]",77,"[I,I]","[I,I,P,I]",49,"[P,I]",13,IMPAR,GALO,8338,"[8,3,3,8]",83,"[P,I]","[P,I,I,P]",38,"[I,P]",10,PAR,COELHO,7308,"[7,3,0,8]",73,"[I,I]","[I,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA
4426,2010-02-20,sábado,527,"[0,5,2,7]",05,"[P,I]","[P,I,P,I]",27,"[P,I]",07,IMPAR,CARNEIRO,8097,"[8,0,9,7]",80,"[P,P]","[P,P,I,I]",97,"[I,I]",25,IMPAR,VACA,2245,"[2,2,4,5]",22,"[P,P]","[P,P,P,I]",45,"[P,I]",12,PAR,ELEFANTE,2017,"[2,0,1,7]",20,"[P,P]","[P,P,I,I]",17,"[I,I]",05,IMPAR,CACHORRO,5836,"[5,8,3,6]",58,"[I,P]","[I,P,I,P]",36,"[I,P]",09,IMPAR,COBRA
4427,2010-02-24,quarta-feira,6121,"[6,1,2,1]",61,"[P,I]","[P,I,P,I]",21,"[P,I]",06,PAR,CABRA,6938,"[6,9,3,8]",69,"[P,I]","[P,I,I,P]",38,"[I,P]",10,PAR,COELHO,8969,"[8,9,6,9]",89,"[P,I]","[P,I,P,I]",69,"[P,I]",18,PAR,PORCO,1399,"[1,3,9,9]",13,"[I,I]","[I,I,I,I]",99,"[I,I]",25,IMPAR,VACA,794,"[0,7,9,4]",07,"[P,I]","[P,I,I,P]",94,"[I,P]",24,PAR,VEADO
4428,2010-02-27,sábado,6609,"[6,6,0,9]",66,"[P,P]","[P,P,P,I]",09,"[P,I]",03,IMPAR,BURRO,5786,"[5,7,8,6]",57,"[I,I]","[I,I,P,P]",86,"[P,P]",22,PAR,TIGRE,4120,"[4,1,2,0]",41,"[P,I]","[P,I,P,P]",20,"[P,P]",05,IMPAR,CACHORRO,7150,"[7,1,5,0]",71,"[I,I]","[I,I,I,P]",50,"[I,P]",13,IMPAR,GALO,9307,"[9,3,0,7]",93,"[I,I]","[I,I,P,I]",07,"[P,I]",02,PAR,ÁGUIA
4429,2010-03-03,quarta-feira,2385,"[2,3,8,5]",23,"[P,I]","[P,I,P,I]",85,"[P,I]",22,PAR,TIGRE,7271,"[7,2,7,1]",72,"[I,P]","[I,P,I,I]",71,"[I,I]",18,PAR,PORCO,9033,"[9,0,3,3]",90,"[I,P]","[I,P,I,I]",33,"[I,I]",09,IMPAR,COBRA,3435,"[3,4,3,5]",34,"[I,P]","[I,P,I,I]",35,"[I,I]",09,IMPAR,COBRA,2609,"[2,6,0,9]",26,"[P,P]","[P,P,P,I]",09,"[P,I]",03,IMPAR,BURRO
4430,2010-03-06,sábado,2048,"[2,0,4,8]",20,"[P,P]","[P,P,P,P]",48,"[P,P]",12,PAR,ELEFANTE,257,"[0,2,5,7]",02,"[P,P]","[P,P,I,I]",57,"[I,I]",15,IMPAR,JACARÉ,8080,"[8,0,8,0]",80,"[P,P]","[P,P,P,P]",80,"[P,P]",20,PAR,PERU,7493,"[7,4,9,3]",74,"[I,P]","[I,P,I,I]",93,"[I,I]",24,PAR,VEADO,6386,"[6,3,8,6]",63,"[P,I]","[P,I,P,P]",86,"[P,P]",22,PAR,TIGRE
4431,2010-03-10,quarta-feira,4287,"[4,2,8,7]",42,"[P,P]","[P,P,P,I]",87,"[P,I]",22,PAR,TIGRE,7390,"[7,3,9,0]",73,"[I,I]","[I,I,I,P]",90,"[I,P]",23,IMPAR,URSO,8808,"[8,8,0,8]",88,"[P,P]","[P,P,P,P]",08,"[P,P]",02,PAR,ÁGUIA,2900,"[2,9,0,0]",29,"[P,I]","[P,I,P,P]",00,"[P,P]",00,PAR,VACA,9328,"[9,3,2,8]",93,"[I,I]","[I,I,P,P]",28,"[P,P]",07,IMPAR,CARNEIRO
4432,2010-03-13,sábado,8831,"[8,8,3,1]",88,"[P,P]","[P,P,I,I]",31,"[I,I]",08,PAR,CAMELO,3935,"[3,9,3,5]",39,"[I,I]","[I,I,I,I]",35,"[I,I]",09,IMPAR,COBRA,1082,"[1,0,8,2]",10,"[I,P]","[I,P,P,P]",82,"[P,P]",21,IMPAR,TOURO,303,"[0,3,0,3]",03,"[P,I]","[P,I,P,I]",03,"[P,I]",01,IMPAR,AVESTRUZ,6589,"[6,5,8,9]",65,"[P,I]","[P,I,P,I]",89,"[P,I]",23,IMPAR,URSO
4433,2010-03-17,quarta-feira,2263,"[2,2,6,3]",22,"[P,P]","[P,P,P,I]",63,"[P,I]",16,PAR,LEÃO,4888,"[4,8,8,8]",48,"[P,P]","[P,P,P,P]",88,"[P,P]",22,PAR,TIGRE,451,"[0,4,5,1]",04,"[P,P]","[P,P,I,I]",51,"[I,I]",13,IMPAR,GALO,9620,"[9,6,2,0]",96,"[I,P]","[I,P,P,P]",20,"[P,P]",05,IMPAR,CACHORRO,2774,"[2,7,7,4]",27,"[P,I]","[P,I,I,P]",74,"[I,P]",19,IMPAR,PAVÃO
4434,2010-03-20,sábado,6850,"[6,8,5,0]",68,"[P,P]","[P,P,I,P]",50,"[I,P]",13,IMPAR,GALO,2907,"[2,9,0,7]",29,"[P,I]","[P,I,P,I]",07,"[P,I]",02,PAR,ÁGUIA,4694,"[4,6,9,4]",46,"[P,P]","[P,P,I,P]",94,"[I,P]",24,PAR,VEADO,6376,"[6,3,7,6]",63,"[P,I]","[P,I,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,421,"[0,4,2,1]",04,"[P,P]","[P,P,P,I]",21,"[P,I]",06,PAR,CABRA
4435,2010-03-24,quarta-feira,5308,"[5,3,0,8]",53,"[I,I]","[I,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA,7020,"[7,0,2,0]",70,"[I,P]","[I,P,P,P]",20,"[P,P]",05,IMPAR,CACHORRO,6037,"[6,0,3,7]",60,"[P,P]","[P,P,I,I]",37,"[I,I]",10,PAR,COELHO,2869,"[2,8,6,9]",28,"[P,P]","[P,P,P,I]",69,"[P,I]",18,PAR,PORCO,8252,"[8,2,5,2]",82,"[P,P]","[P,P,I,P]",52,"[I,P]",13,IMPAR,GALO
4436,2010-03-27,sábado,2259,"[2,2,5,9]",22,"[P,P]","[P,P,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,7090,"[7,0,9,0]",70,"[I,P]","[I,P,I,P]",90,"[I,P]",23,IMPAR,URSO,5375,"[5,3,7,5]",53,"[I,I]","[I,I,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,4289,"[4,2,8,9]",42,"[P,P]","[P,P,P,I]",89,"[P,I]",23,IMPAR,URSO,8582,"[8,5,8,2]",85,"[P,I]","[P,I,P,P]",82,"[P,P]",21,IMPAR,TOURO
4437,2010-03-31,quarta-feira,79,"[0,0,7,9]",00,"[P,P]","[P,P,I,I]",79,"[I,I]",20,PAR,PERU,442,"[0,4,4,2]",04,"[P,P]","[P,P,P,P]",42,"[P,P]",11,IMPAR,CAVALO,8465,"[8,4,6,5]",84,"[P,P]","[P,P,P,I]",65,"[P,I]",17,IMPAR,MACACO,2003,"[2,0,0,3]",20,"[P,P]","[P,P,P,I]",03,"[P,I]",01,IMPAR,AVESTRUZ,9256,"[9,2,5,6]",92,"[I,P]","[I,P,I,P]",56,"[I,P]",14,PAR,GATO
4438,2010-04-03,sábado,2598,"[2,5,9,8]",25,"[P,I]","[P,I,I,P]",98,"[I,P]",25,IMPAR,VACA,2870,"[2,8,7,0]",28,"[P,P]","[P,P,I,P]",70,"[I,P]",18,PAR,PORCO,5449,"[5,4,4,9]",54,"[I,P]","[I,P,P,I]",49,"[P,I]",13,IMPAR,GALO,1692,"[1,6,9,2]",16,"[I,P]","[I,P,I,P]",92,"[I,P]",23,IMPAR,URSO,2885,"[2,8,8,5]",28,"[P,P]","[P,P,P,I]",85,"[P,I]",22,PAR,TIGRE
4439,2010-04-07,quarta-feira,9992,"[9,9,9,2]",99,"[I,I]","[I,I,I,P]",92,"[I,P]",23,IMPAR,URSO,9511,"[9,5,1,1]",95,"[I,I]","[I,I,I,I]",11,"[I,I]",03,IMPAR,BURRO,6259,"[6,2,5,9]",62,"[P,P]","[P,P,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,9617,"[9,6,1,7]",96,"[I,P]","[I,P,I,I]",17,"[I,I]",05,IMPAR,CACHORRO,9782,"[9,7,8,2]",97,"[I,I]","[I,I,P,P]",82,"[P,P]",21,IMPAR,TOURO
4440,2010-04-10,sábado,7056,"[7,0,5,6]",70,"[I,P]","[I,P,I,P]",56,"[I,P]",14,PAR,GATO,4119,"[4,1,1,9]",41,"[P,I]","[P,I,I,I]",19,"[I,I]",05,IMPAR,CACHORRO,2425,"[2,4,2,5]",24,"[P,P]","[P,P,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,6118,"[6,1,1,8]",61,"[P,I]","[P,I,I,P]",18,"[I,P]",05,IMPAR,CACHORRO,1953,"[1,9,5,3]",19,"[I,I]","[I,I,I,I]",53,"[I,I]",14,PAR,GATO
4441,2010-04-14,quarta-feira,1706,"[1,7,0,6]",17,"[I,I]","[I,I,P,P]",06,"[P,P]",02,PAR,ÁGUIA,6052,"[6,0,5,2]",60,"[P,P]","[P,P,I,P]",52,"[I,P]",13,IMPAR,GALO,3803,"[3,8,0,3]",38,"[I,P]","[I,P,P,I]",03,"[P,I]",01,IMPAR,AVESTRUZ,8465,"[8,4,6,5]",84,"[P,P]","[P,P,P,I]",65,"[P,I]",17,IMPAR,MACACO,2230,"[2,2,3,0]",22,"[P,P]","[P,P,I,P]",30,"[I,P]",08,PAR,CAMELO
4442,2010-04-17,sábado,5008,"[5,0,0,8]",50,"[I,P]","[I,P,P,P]",08,"[P,P]",02,PAR,ÁGUIA,3901,"[3,9,0,1]",39,"[I,I]","[I,I,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,3842,"[3,8,4,2]",38,"[I,P]","[I,P,P,P]",42,"[P,P]",11,IMPAR,CAVALO,1260,"[1,2,6,0]",12,"[I,P]","[I,P,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,436,"[0,4,3,6]",04,"[P,P]","[P,P,I,P]",36,"[I,P]",09,IMPAR,COBRA
4443,2010-04-20,terça-feira,5132,"[5,1,3,2]",51,"[I,I]","[I,I,I,P]",32,"[I,P]",08,PAR,CAMELO,7283,"[7,2,8,3]",72,"[I,P]","[I,P,P,I]",83,"[P,I]",21,IMPAR,TOURO,4672,"[4,6,7,2]",46,"[P,P]","[P,P,I,P]",72,"[I,P]",18,PAR,PORCO,5539,"[5,5,3,9]",55,"[I,I]","[I,I,I,I]",39,"[I,I]",10,PAR,COELHO,8147,"[8,1,4,7]",81,"[P,I]","[P,I,P,I]",47,"[P,I]",12,PAR,ELEFANTE
4444,2010-04-24,sábado,3029,"[3,0,2,9]",30,"[I,P]","[I,P,P,I]",29,"[P,I]",08,PAR,CAMELO,9742,"[9,7,4,2]",97,"[I,I]","[I,I,P,P]",42,"[P,P]",11,IMPAR,CAVALO,1864,"[1,8,6,4]",18,"[I,P]","[I,P,P,P]",64,"[P,P]",16,PAR,LEÃO,2397,"[2,3,9,7]",23,"[P,I]","[P,I,I,I]",97,"[I,I]",25,IMPAR,VACA,5206,"[5,2,0,6]",52,"[I,P]","[I,P,P,P]",06,"[P,P]",02,PAR,ÁGUIA
4445,2010-04-28,quarta-feira,5894,"[5,8,9,4]",58,"[I,P]","[I,P,I,P]",94,"[I,P]",24,PAR,VEADO,58,"[0,0,5,8]",00,"[P,P]","[P,P,I,P]",58,"[I,P]",15,IMPAR,JACARÉ,6259,"[6,2,5,9]",62,"[P,P]","[P,P,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,7601,"[7,6,0,1]",76,"[I,P]","[I,P,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,8996,"[8,9,9,6]",89,"[P,I]","[P,I,I,P]",96,"[I,P]",24,PAR,VEADO
4446,2010-05-05,quarta-feira,2239,"[2,2,3,9]",22,"[P,P]","[P,P,I,I]",39,"[I,I]",10,PAR,COELHO,4411,"[4,4,1,1]",44,"[P,P]","[P,P,I,I]",11,"[I,I]",03,IMPAR,BURRO,8017,"[8,0,1,7]",80,"[P,P]","[P,P,I,I]",17,"[I,I]",05,IMPAR,CACHORRO,2653,"[2,6,5,3]",26,"[P,P]","[P,P,I,I]",53,"[I,I]",14,PAR,GATO,475,"[0,4,7,5]",04,"[P,P]","[P,P,I,I]",75,"[I,I]",19,IMPAR,PAVÃO
4447,2010-05-08,sábado,5662,"[5,6,6,2]",56,"[I,P]","[I,P,P,P]",62,"[P,P]",16,PAR,LEÃO,2366,"[2,3,6,6]",23,"[P,I]","[P,I,P,P]",66,"[P,P]",17,IMPAR,MACACO,2960,"[2,9,6,0]",29,"[P,I]","[P,I,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,3809,"[3,8,0,9]",38,"[I,P]","[I,P,P,I]",09,"[P,I]",03,IMPAR,BURRO,7302,"[7,3,0,2]",73,"[I,I]","[I,I,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ
4448,2010-05-12,quarta-feira,4097,"[4,0,9,7]",40,"[P,P]","[P,P,I,I]",97,"[I,I]",25,IMPAR,VACA,7342,"[7,3,4,2]",73,"[I,I]","[I,I,P,P]",42,"[P,P]",11,IMPAR,CAVALO,5497,"[5,4,9,7]",54,"[I,P]","[I,P,I,I]",97,"[I,I]",25,IMPAR,VACA,6830,"[6,8,3,0]",68,"[P,P]","[P,P,I,P]",30,"[I,P]",08,PAR,CAMELO,2885,"[2,8,8,5]",28,"[P,P]","[P,P,P,I]",85,"[P,I]",22,PAR,TIGRE
4449,2010-05-15,sábado,8937,"[8,9,3,7]",89,"[P,I]","[P,I,I,I]",37,"[I,I]",10,PAR,COELHO,7656,"[7,6,5,6]",76,"[I,P]","[I,P,I,P]",56,"[I,P]",14,PAR,GATO,933,"[0,9,3,3]",09,"[P,I]","[P,I,I,I]",33,"[I,I]",09,IMPAR,COBRA,7986,"[7,9,8,6]",79,"[I,I]","[I,I,P,P]",86,"[P,P]",22,PAR,TIGRE,911,"[0,9,1,1]",09,"[P,I]","[P,I,I,I]",11,"[I,I]",03,IMPAR,BURRO
4450,2010-05-19,quarta-feira,510,"[0,5,1,0]",05,"[P,I]","[P,I,I,P]",10,"[I,P]",03,IMPAR,BURRO,3052,"[3,0,5,2]",30,"[I,P]","[I,P,I,P]",52,"[I,P]",13,IMPAR,GALO,4777,"[4,7,7,7]",47,"[P,I]","[P,I,I,I]",77,"[I,I]",20,PAR,PERU,1087,"[1,0,8,7]",10,"[I,P]","[I,P,P,I]",87,"[P,I]",22,PAR,TIGRE,8287,"[8,2,8,7]",82,"[P,P]","[P,P,P,I]",87,"[P,I]",22,PAR,TIGRE
4451,2010-05-22,sábado,3248,"[3,2,4,8]",32,"[I,P]","[I,P,P,P]",48,"[P,P]",12,PAR,ELEFANTE,3403,"[3,4,0,3]",34,"[I,P]","[I,P,P,I]",03,"[P,I]",01,IMPAR,AVESTRUZ,7088,"[7,0,8,8]",70,"[I,P]","[I,P,P,P]",88,"[P,P]",22,PAR,TIGRE,5661,"[5,6,6,1]",56,"[I,P]","[I,P,P,I]",61,"[P,I]",16,PAR,LEÃO,3720,"[3,7,2,0]",37,"[I,I]","[I,I,P,P]",20,"[P,P]",05,IMPAR,CACHORRO
4452,2010-05-26,quarta-feira,2571,"[2,5,7,1]",25,"[P,I]","[P,I,I,I]",71,"[I,I]",18,PAR,PORCO,6983,"[6,9,8,3]",69,"[P,I]","[P,I,P,I]",83,"[P,I]",21,IMPAR,TOURO,3929,"[3,9,2,9]",39,"[I,I]","[I,I,P,I]",29,"[P,I]",08,PAR,CAMELO,5190,"[5,1,9,0]",51,"[I,I]","[I,I,I,P]",90,"[I,P]",23,IMPAR,URSO,9702,"[9,7,0,2]",97,"[I,I]","[I,I,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ
4453,2010-05-29,sábado,9988,"[9,9,8,8]",99,"[I,I]","[I,I,P,P]",88,"[P,P]",22,PAR,TIGRE,7004,"[7,0,0,4]",70,"[I,P]","[I,P,P,P]",04,"[P,P]",01,IMPAR,AVESTRUZ,4080,"[4,0,8,0]",40,"[P,P]","[P,P,P,P]",80,"[P,P]",20,PAR,PERU,6290,"[6,2,9,0]",62,"[P,P]","[P,P,I,P]",90,"[I,P]",23,IMPAR,URSO,9634,"[9,6,3,4]",96,"[I,P]","[I,P,I,P]",34,"[I,P]",09,IMPAR,COBRA
4454,2010-06-02,quarta-feira,2219,"[2,2,1,9]",22,"[P,P]","[P,P,I,I]",19,"[I,I]",05,IMPAR,CACHORRO,9251,"[9,2,5,1]",92,"[I,P]","[I,P,I,I]",51,"[I,I]",13,IMPAR,GALO,55,"[0,0,5,5]",00,"[P,P]","[P,P,I,I]",55,"[I,I]",14,PAR,GATO,2768,"[2,7,6,8]",27,"[P,I]","[P,I,P,P]",68,"[P,P]",17,IMPAR,MACACO,4450,"[4,4,5,0]",44,"[P,P]","[P,P,I,P]",50,"[I,P]",13,IMPAR,GALO
4455,2010-06-05,sábado,8634,"[8,6,3,4]",86,"[P,P]","[P,P,I,P]",34,"[I,P]",09,IMPAR,COBRA,3832,"[3,8,3,2]",38,"[I,P]","[I,P,I,P]",32,"[I,P]",08,PAR,CAMELO,8323,"[8,3,2,3]",83,"[P,I]","[P,I,P,I]",23,"[P,I]",06,PAR,CABRA,3876,"[3,8,7,6]",38,"[I,P]","[I,P,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,3882,"[3,8,8,2]",38,"[I,P]","[I,P,P,P]",82,"[P,P]",21,IMPAR,TOURO
4456,2010-06-09,quarta-feira,1290,"[1,2,9,0]",12,"[I,P]","[I,P,I,P]",90,"[I,P]",23,IMPAR,URSO,1801,"[1,8,0,1]",18,"[I,P]","[I,P,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,9413,"[9,4,1,3]",94,"[I,P]","[I,P,I,I]",13,"[I,I]",04,PAR,BORBOLETA,2634,"[2,6,3,4]",26,"[P,P]","[P,P,I,P]",34,"[I,P]",09,IMPAR,COBRA,2821,"[2,8,2,1]",28,"[P,P]","[P,P,P,I]",21,"[P,I]",06,PAR,CABRA
4457,2010-06-12,sábado,2089,"[2,0,8,9]",20,"[P,P]","[P,P,P,I]",89,"[P,I]",23,IMPAR,URSO,7318,"[7,3,1,8]",73,"[I,I]","[I,I,I,P]",18,"[I,P]",05,IMPAR,CACHORRO,7051,"[7,0,5,1]",70,"[I,P]","[I,P,I,I]",51,"[I,I]",13,IMPAR,GALO,9280,"[9,2,8,0]",92,"[I,P]","[I,P,P,P]",80,"[P,P]",20,PAR,PERU,838,"[0,8,3,8]",08,"[P,P]","[P,P,I,P]",38,"[I,P]",10,PAR,COELHO
4458,2010-06-16,quarta-feira,6560,"[6,5,6,0]",65,"[P,I]","[P,I,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,625,"[0,6,2,5]",06,"[P,P]","[P,P,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,9826,"[9,8,2,6]",98,"[I,P]","[I,P,P,P]",26,"[P,P]",07,IMPAR,CARNEIRO,5518,"[5,5,1,8]",55,"[I,I]","[I,I,I,P]",18,"[I,P]",05,IMPAR,CACHORRO,1116,"[1,1,1,6]",11,"[I,I]","[I,I,I,P]",16,"[I,P]",04,PAR,BORBOLETA
4459,2010-06-19,sábado,248,"[0,2,4,8]",02,"[P,P]","[P,P,P,P]",48,"[P,P]",12,PAR,ELEFANTE,7538,"[7,5,3,8]",75,"[I,I]","[I,I,I,P]",38,"[I,P]",10,PAR,COELHO,6689,"[6,6,8,9]",66,"[P,P]","[P,P,P,I]",89,"[P,I]",23,IMPAR,URSO,8572,"[8,5,7,2]",85,"[P,I]","[P,I,I,P]",72,"[I,P]",18,PAR,PORCO,1036,"[1,0,3,6]",10,"[I,P]","[I,P,I,P]",36,"[I,P]",09,IMPAR,COBRA
4460,2010-06-23,quarta-feira,7807,"[7,8,0,7]",78,"[I,P]","[I,P,P,I]",07,"[P,I]",02,PAR,ÁGUIA,5158,"[5,1,5,8]",51,"[I,I]","[I,I,I,P]",58,"[I,P]",15,IMPAR,JACARÉ,9871,"[9,8,7,1]",98,"[I,P]","[I,P,I,I]",71,"[I,I]",18,PAR,PORCO,7960,"[7,9,6,0]",79,"[I,I]","[I,I,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,1567,"[1,5,6,7]",15,"[I,I]","[I,I,P,I]",67,"[P,I]",17,IMPAR,MACACO
